Scan Name,Dice Coefficient,Jaccard Index
154,0.0012915488839068136,0.0006461917360611565
155,0.010677757914067155,0.005367535579791656
155_0,0.009377498849014999,0.004710837360470353
155_1,0.010374527740320954,0.005214311881792649
155_2,0.010802412943475464,0.005430537928341307
155_3,0.010632487346611805,0.0053446571731888565
155_4,0.01100703429675256,0.005533973466246427
155_5,0.010646960876065,0.005351971553904618
155_6,0.01031568935874456,0.005184585968524783
155_7,0.009337250265124273,0.0046905234281235456
156,0.0005744904159531569,0.0002873277414934412
157,0.0031858806281541627,0.0015954818213907518
158,0.0043986372849195736,0.0022041663065087732
159,0.0018853854487639468,0.0009435822324873954
15_0,0.0027947598253275107,0.0013993353157250306
15_1,0.004190808794348758,0.002099804336414107
15_2,0.0056770428632593834,0.002846601571196845
15_3,0.006556650090272719,0.003289107809644872
15_4,0.007728489302060403,0.0038792349639898884
15_5,0.00801978001077757,0.004026033958721217
15_6,0.0070263170388188195,0.003525544315456812
15_7,0.005430898956695727,0.0027228432215534535
16,0.009136026749865066,0.004588975878121033
160,0.0015068298701724119,0.0007539829971370501
161,0.0011305576693118817,0.0005655985555483042
162,0.0019709591487920178,0.000986451702399852
163,0.014675120930840634,0.007391798231895033
163_0,0.011533165951243218,0.005800029325990974
163_1,0.01336454980001951,0.006727228087404861
163_2,0.013613177816043407,0.0068532360686304975
163_3,0.01382790484304345,0.006962087966476392
163_4,0.0131005085498922,0.00659344300316419
163_5,0.010911128691983123,0.005485490793987504
163_6,0.007789935799046063,0.003910197995195095
163_7,0.005089058524173028,0.002551020408163265
164,0.026170613562970936,0.013258802276832885
164_0,0.017315121412803534,0.008733168644097282
164_1,0.02153698892383427,0.010885717247814217
164_2,0.027001227328514933,0.013685374619850706
164_3,0.028715246106550456,0.014566767205922676
164_4,0.020976226942798163,0.010599279921935462
164_5,0.019420040953827863,0.009805229455709712
164_6,0.015863689776733254,0.007995262066923305
164_7,0.011319168202839494,0.0056917973069667595
165,0.002593519802604326,0.001298443670988801
166,0.0027803207540772388,0.0013920956132011408
167,0.020316646838107442,0.010262573964497042
167_0,0.011310864867350223,0.005687598261352077
167_1,0.013334972039574755,0.006712239784713415
167_2,0.01770589226362787,0.008932020831079723
167_3,0.019880533006586,0.010040067449451587
167_4,0.018912529550827423,0.00954653937947494
167_5,0.016641521510538108,0.008390576736895486
167_6,0.013418920984257985,0.0067547814312750995
167_7,0.008656684459263111,0.00434715821812596
168,0.0025626297883621263,0.0012829587683595824
169,0.005187285119729779,0.0026003870343492986
16_0,0.004798439189011047,0.002404989692901316
16_1,0.006918685712782469,0.0034713514512360916
16_2,0.008014294347951756,0.004023269004999407
16_3,0.008819154677442709,0.004429107832249194
16_4,0.0084938011078871,0.004265013642745503
16_5,0.007785798176275749,0.003908112977584654
16_6,0.006818542206247688,0.003420933994537113
16_7,0.006531540465140878,0.0032764704321757354
17,0.0014346222161497472,0.0007178260126474106
170,0.0012713861396990323,0.0006360974325791557
171,0.0031038374717832955,0.0015543309311855306
172,0.003361895781230782,0.0016837782340862423
173,0.0012622702063946071,0.0006315336862755637
174,0.001450542093615755,0.0007257974466818029
175,0.0020797402860911027,0.0010409525985731333
176,0.00687055254411207,0.00344711807498601
177,0.025861214128473118,0.013099997990797854
177_0,0.018869039412262905,0.009524377634613855
177_1,0.022205978228658357,0.011227649585455999
177_2,0.024520466679849712,0.012412412412412413
177_3,0.026093144619277298,0.013219035410991828
177_4,0.025655281969817315,0.01299432755360663
177_5,0.02506016428329919,0.0126890773228061
177_6,0.02109208349115847,0.010658446163765312
177_7,0.016937304012623083,0.008540982615877364
178,0.0009348160554657526,0.0004676266001597724
179,0.0014988758431176618,0.00075
18,0.0022259956336239495,0.001114237961230233
180,0.007504620381951575,0.003766443053629652
180_0,0.009510131200993711,0.004777784278164551
180_1,0.011156635312674322,0.00560960984196375
180_2,0.00840207174371763,0.004218759029878061
180_3,0.007467377845509096,0.0037476816000305935
180_4,0.006920035149384886,0.0034720308624965556
180_5,0.008987527512839325,0.004514048825426071
180_6,0.011052948364856732,0.00555718582642506
180_7,0.010076118503915448,0.005063569816720788
181,0.001913739944005387,0.0009577864490954239
182,0.036516470620343335,0.018597798287556987
182_0,0.027917964136153762,0.014156593705760645
182_1,0.029882949457899564,0.015168108640893659
182_2,0.031768291038537254,0.016140523950454896
182_3,0.03373010493207885,0.017154361675721888
182_4,0.03650315154836942,0.01859088878963823
182_5,0.03581025500411297,0.01823156601613759
182_6,0.033901103436889464,0.017242827151854444
182_7,0.030562987890657325,0.015518641978766913
183,0.0008396465851191726,0.0004199996181821653
184,0.0020382373323549795,0.0010201583285725944
185,0.001464831418108347,0.0007329525350048021
186,0.0005543749422526102,0.000277264325323475
187,0.0035074816847226542,0.0017568218525969793
188,0.0011467889908256881,0.0005737234652897303
189,0.0007148037968695798,0.0003575296802212478
19,0.0010750843483730772,0.0005378312811827711
190,0.01335056748764984,0.006720142602495544
190_0,0.0,0.0
190_1,0.0,0.0
190_2,0.0,0.0
190_3,0.007738668378445847,0.0038843640920075183
190_4,0.009005176203644615,0.00452295309662025
190_5,0.005630610691077784,0.002823253666678504
190_6,0.0,0.0
190_7,0.0,0.0
191,0.005881432817143751,0.0029493897273383325
191_0,0.0011299257701542663,0.0005652822485671665
191_1,0.00519115002736299,0.002602329555252473
191_2,0.002215634264315806,0.0011090457520423623
191_3,0.0,0.0
192,0.0019698462004697328,0.000985894130138025
193,0.0017192469698272157,0.0008603630732168976
194,0.04551625009981634,0.023288118973688512
194_0,0.003021868787276342,0.001513220770946161
194_1,0.016319416937336607,0.008226837060702876
194_2,0.03233183502878322,0.016431548573260662
194_3,0.03995595406638351,0.020385232744783308
194_4,0.044755472373667504,0.022889961711336775
194_5,0.0270020964360587,0.013685821149268956
194_6,0.014198956462235908,0.007150241212956582
194_7,0.029840448469167745,0.015146209070215374
195,0.0019990861320539183,0.0010005431519967982
196,0.0010504201680672268,0.0005254860746190226
197,0.008269089969421594,0.00415171041819833
197_0,0.002754465246395524,0.0013791320087919666
197_1,0.005261682444525909,0.002637780804739357
197_2,0.007440540191819707,0.0037341621878305164
197_3,0.00755154141548495,0.0037900811852617524
197_4,0.009232969938663604,0.004637895745329443
197_5,0.008371302129885985,0.0042032443792552375
197_6,0.003482247151389593,0.001744160374442531
197_7,0.0015541050575018872,0.0007776568089408315
198,0.04622486969471333,0.023659257904204395
198_0,0.035685273296971104,0.018166779901338137
198_1,0.03802788324976088,0.01938247894814596
198_2,0.04152329853618709,0.02120183431600262
198_3,0.04529904447328064,0.023174411587205793
198_4,0.04047369210013491,0.02065483476132191
198_5,0.03286088291053534,0.016704910509407984
198_6,0.027360694027360695,0.013870094722598106
198_7,0.022731427874946676,0.01149637848666975
199,0.011850819100731963,0.005960729312762973
199_0,0.01040736789392323,0.005230903917706281
199_1,0.0124177916233991,0.0062476870496549625
199_2,0.012772335295523166,0.0064272129068928575
199_3,0.012290454269087118,0.006183224453232538
199_4,0.011280733465450032,0.005672360928602716
199_5,0.01034985105781566,0.005201844687780037
199_6,0.010061902574534636,0.005056389737727263
199_7,0.008765010079761592,0.004401795932740558
2,0.0018808103605782148,0.0009412903746335691
20,0.0025642480285925,0.0012837699665992593
200,0.00158975358819383,0.000795509125840538
201,0.0017654363470428942,0.0008834980533093741
202,0.0013789795551292043,0.0006899655017249137
203,0.0015196285352469397,0.0007603920243325448
204,0.0022799059538794026,0.0011412539527806177
205,0.0009268281090330094,0.0004636289066679347
206,0.0017889565310263804,0.0008952790731857237
207,0.0008365800607118101,0.0004184650701227896
208,0.00344149459193707,0.0017237133710908644
209,0.0007460262071786974,0.0003731522942847513
21,0.003788093590863209,0.00189764101631744
210,0.0006817794443497528,0.00034100596760443307
211,0.001543507621068879,0.0007723498744931454
212,0.0032772310883719307,0.001641305012091529
212_0,0.0009074489341837758,0.0004539304264327179
212_1,0.0015884098446500262,0.0007948361851356899
212_2,0.0019899802747569257,0.0009959811287786127
212_3,0.0030708029451791885,0.001537762555481774
212_4,0.003645242870846778,0.001825949450031015
212_5,0.004081632653061225,0.002044989775051125
212_6,0.003801585156379426,0.0019044124712809358
212_7,0.0027729092003034505,0.0013883795253313773
213,0.004520470539888016,0.002265355506358441
214,0.006024007875288344,0.0030211035133223298
215,0.005815029207305792,0.0029159928955809454
216,0.0010830154918302962,0.0005418011354267273
217,0.0012500355123725106,0.0006254086476959377
218,0.00471796295011448,0.002364559426942068
219,0.0057810471657291215,0.0028989029301485906
22,0.003503735434067611,0.0017549421435203007
220,0.0038118575998910896,0.0019095683011662006
221,0.010467854962054025,0.005261465610476163
222,0.01644764030085131,0.008292012167173632
223,0.001209428893721436,0.0006050803476884767
224,0.0030385396019038348,0.0015215814937650821
225,0.004905520766247825,0.002458791208791209
226,0.0021171630015778854,0.0010597032830807374
227,0.0019815257748466318,0.000991745472030774
228,0.021173550098566526,0.010700054115216216
228_0,0.01816459846038029,0.009165543438304129
228_1,0.01958494513782449,0.009889313399098291
228_2,0.020629328149678047,0.010422165207890893
228_3,0.021392194280018963,0.010811740567370658
228_4,0.02048478221250228,0.01034838329527878
228_5,0.018876897750137185,0.009528382021641984
228_6,0.017134070440067366,0.008641063515509601
228_7,0.014857463496749167,0.0074843308344598744
229,0.0014889158486820337,0.0007450125548412019
23,0.0019268612659888488,0.0009643597266963498
230,0.0018717828731867104,0.000936768149882904
231,0.012682551883166795,0.006381744343453877
232,0.02761494113657284,0.014000786009039104
232_0,0.016313055299315433,0.008223603700621666
232_1,0.019975816203143894,0.010088672838752229
232_2,0.024898682262722353,0.012606281024229617
232_3,0.027632507114884096,0.014009816737784574
232_4,0.02990780845452126,0.015180918224471247
232_5,0.02782280502262115,0.01410765984591982
232_6,0.02151106833493744,0.010872473426896602
232_7,0.01669400752677796,0.008417262686712402
233,0.006506123410268488,0.003263678653178764
234,0.007825370675453048,0.00392805457928468
234_0,0.0034232471944816226,0.0017145582756442485
234_1,0.0053446393010856295,0.0026794800778079794
234_2,0.006548417036196762,0.0032849641757843823
234_3,0.00747490108643821,0.00375147148234868
234_4,0.007822382857880469,0.003926548913395622
234_5,0.00691505831355145,0.003469525141111284
